AS: 3491, node_degree: 602, IP_prefix: 217.156.160.0/21
AS: 3512, node_degree: 9, IP_prefix: 206.57.72.0/21
AS: 3527, node_degree: 2, IP_prefix: 192.231.145.0/24
AS: 3538, node_degree: 1, IP_prefix: 214.37.24.0/22
AS: 3549, node_degree: 2668, IP_prefix: 217.156.254.192/26
AS: 3557, node_degree: 1, IP_prefix: 192.5.5.0/24
AS: 3561, node_degree: 242, IP_prefix: 216.235.200.0/21
AS: 3582, node_degree: 3, IP_prefix: 207.98.72.0/21
AS: 3583, node_degree: 1, IP_prefix: 202.46.255.0/24
AS: 3586, node_degree: 1, IP_prefix: 198.58.1.0/24
AS: 3593, node_degree: 12, IP_prefix: 216.222.224.0/20
AS: 3595, node_degree: 6, IP_prefix: 216.180.224.0/19
AS: 3597, node_degree: 12, IP_prefix: 200.10.202.0/24
AS: 3598, node_degree: 1, IP_prefix: 204.255.244.0/23
AS: 3599, node_degree: 2, IP_prefix: 205.173.181.0/24
AS: 3601, node_degree: 7, IP_prefix: 208.207.86.0/23
AS: 3605, node_degree: 20, IP_prefix: 208.245.168.0/21
AS: 3624, node_degree: 1, IP_prefix: 185.117.213.0/24
AS: 3630, node_degree: 12, IP_prefix: 199.109.99.0/24
AS: 3640, node_degree: 2, IP_prefix: 158.97.160.0/24
AS: 3661, node_degree: 12, IP_prefix: 203.188.64.0/20
AS: 3662, node_degree: 22, IP_prefix: 203.188.118.0/24
AS: 3663, node_degree: 17, IP_prefix: 206.40.125.0/24
AS: 3676, node_degree: 3, IP_prefix: 198.49.182.0/24
AS: 3685, node_degree: 3, IP_prefix: 205.232.18.0/23
AS: 3700, node_degree: 1, IP_prefix: 198.202.211.0/24
AS: 3701, node_degree: 20, IP_prefix: 207.98.64.0/18
